work_year,employment_type,salary,salary_in_usd,remote_ratio,experience_level_encoded,company_size_encoded,job_title_grouped,employee_residence_grouped,company_location_grouped,salary_currency_grouped
2023,FT,145000,145000,0,1,2,High,High,High,High
2020,FT,450000,450000,0,2,2,Extremely High,Extremely High,Extremely High,Extremely High
2023,FT,223250,223250,0,1,2,Extremely High,Extremely High,Extremely High,Extremely High
2021,FT,1250000,16904,50,2,3,Low,Low,Low,Low
2022,FT,135000,135000,100,1,2,High,High,High,High
2022,FT,129300,129300,0,1,2,High,High,High,High
2023,FT,70000,70000,0,2,2,Medium,Medium,Medium,Medium
2022,FT,142000,142000,100,1,2,High,High,High,High
2022,FT,105400,105400,100,1,2,High,High,High,High
2021,FT,48000,66022,50,2,1,Medium,Medium,Medium,Medium
2023,FT,170000,170000,100,1,2,Very High,Very High,Very High,Very High
2022,FT,140000,140000,0,1,2,High,High,High,High
2023,FT,85000,85000,0,4,2,Medium,Medium,Medium,Medium
2023,FT,179820,179820,0,1,2,Very High,Very High,Very High,Very High
2023,FT,1500000,18238,50,2,3,Low,Low,Low,Low
2023,FT,198800,198800,0,1,2,Very High,Very High,Very High,Very High
2023,FT,299500,299500,0,1,2,Extremely High,Extremely High,Extremely High,Extremely High
2023,FT,139000,139000,100,1,2,High,High,High,High
2021,FT,93150,93150,0,2,2,High,High,High,High
2023,FT,147100,147100,0,1,2,High,High,High,High
2022,FT,90700,90700,100,1,2,High,High,High,High
2021,FT,100000,100000,100,2,2,High,High,High,High
2022,FT,129300,129300,0,1,2,High,High,High,High
2023,FT,140000,140000,100,1,2,High,High,High,High
2023,FT,45000,54685,0,2,2,Low,Low,Low,Low
2023,FT,156400,156400,100,1,2,Very High,Very High,Very High,Very High
2022,FT,138750,138750,100,1,2,High,High,High,High
2023,FT,190000,190000,100,2,2,Very High,Very High,Very High,Very High
2021,FT,34000,40189,100,2,2,Low,Low,Low,Low
2023,FT,75000,75000,100,1,2,Medium,Medium,Medium,Medium
2022,FT,128875,128875,100,1,2,High,High,High,High
2023,FT,115000,115000,0,1,2,High,High,High,High
2023,FT,168400,168400,0,1,2,Very High,Very High,Very High,Very High
2023,FT,179820,179820,0,1,2,Very High,Very High,Very High,Very High
2023,FT,153600,153600,0,1,2,Very High,Very High,Very High,Very High
2022,FT,150000,150000,0,1,2,Very High,Very High,Very High,Very High
2022,FT,120000,120000,0,1,2,High,High,High,High
2023,FT,75000,75000,100,2,2,Medium,Medium,Medium,Medium
2023,FT,161500,161500,100,1,2,Very High,Very High,Very High,Very High
2023,FT,125000,125000,0,1,2,High,High,High,High
2023,FT,70000,70000,100,2,2,Medium,Medium,Medium,Medium
2023,FT,120000,120000,0,2,2,High,High,High,High
2023,FT,130001,130001,100,4,2,High,High,High,High
2023,FT,145000,145000,0,3,2,High,High,High,High
2022,FT,211500,211500,100,1,2,Extremely High,Extremely High,Extremely High,Extremely High
2023,FT,130000,130000,0,2,2,High,High,High,High
2022,FT,154000,154000,100,1,2,Very High,Very High,Very High,Very High
2023,FT,95000,95000,0,2,2,High,High,High,High
2023,FT,65488,65488,0,1,2,Medium,Medium,Medium,Medium
2022,FT,130000,130000,0,1,2,High,High,High,High
2022,FT,108800,108800,0,1,2,High,High,High,High
2023,FT,151800,151800,0,1,2,Very High,Very High,Very High,Very High
2021,FT,54000,63831,50,4,3,Medium,Medium,Medium,Medium
2022,FT,175000,175000,100,1,2,Very High,Very High,Very High,Very High
2023,FT,95000,95000,0,1,2,High,High,High,High
2023,FT,60000,60000,100,4,3,Medium,Medium,Medium,Medium
2022,FT,141525,141525,100,1,2,High,High,High,High
2023,FT,185900,185900,0,1,2,Very High,Very High,Very High,Very High
2023,FT,120000,120000,0,4,2,High,High,High,High
2022,FT,80000,80000,100,1,2,Medium,Medium,Medium,Medium
2023,FT,175000,175000,100,1,2,Very High,Very High,Very High,Very High
2023,FT,120000,120000,100,1,2,High,High,High,High
2023,FT,1050000,12767,50,4,3,Low,Low,Low,Low
2021,FT,55000,55000,100,1,3,Low,Low,Low,Low
2021,FT,150000,150000,100,2,3,Very High,Very High,Very High,Very High
2022,FT,210000,210000,100,1,2,Extremely High,Extremely High,Extremely High,Extremely High
2022,FT,206699,206699,0,2,2,Extremely High,Extremely High,Extremely High,Extremely High
2022,FT,105000,105000,0,1,2,High,High,High,High
2023,FT,145000,145000,0,1,2,High,High,High,High
2022,FT,156868,156868,100,1,3,Very High,Very High,Very High,Very High
2023,FT,145000,145000,0,1,2,High,High,High,High
2023,FT,152500,152500,0,1,2,Very High,Very High,Very High,Very High
2022,FT,129300,129300,0,1,2,High,High,High,High
2021,FT,75000,75000,0,2,3,Medium,Medium,Medium,Medium
2022,FT,200000,200000,100,1,2,Extremely High,Extremely High,Extremely High,Extremely High
2022,FT,240000,240000,100,2,2,Extremely High,Extremely High,Extremely High,Extremely High
2022,FT,201000,201000,0,1,2,Extremely High,Extremely High,Extremely High,Extremely High
2022,FT,160000,160000,0,1,2,Very High,Very High,Very High,Very High
2022,FT,110000,110000,0,1,2,High,High,High,High
2021,FT,111775,111775,0,2,2,High,High,High,High
2022,FT,80000,80000,100,4,3,Medium,Medium,Medium,Medium
2022,FT,215300,215300,0,1,3,Extremely High,Extremely High,Extremely High,Extremely High
2023,FT,72200,72200,0,1,2,Medium,Medium,Medium,Medium
2022,FT,171000,171000,100,1,3,Very High,Very High,Very High,Very High
2023,FT,80000,80000,0,2,2,Medium,Medium,Medium,Medium
2022,FT,183600,183600,100,1,3,Very High,Very High,Very High,Very High
2022,FT,160000,160000,0,1,2,Very High,Very High,Very High,Very High
2023,FT,220000,220000,0,2,2,Extremely High,Extremely High,Extremely High,Extremely High
2022,FT,170000,170000,100,1,2,Very High,Very High,Very High,Very High
2022,FT,153000,153000,100,1,2,Very High,Very High,Very High,Very High
2023,FT,200000,200000,0,1,2,Extremely High,Extremely High,Extremely High,Extremely High
2022,FT,120160,120160,100,1,2,High,High,High,High
2022,FT,209100,209100,100,1,3,Extremely High,Extremely High,Extremely High,Extremely High
2022,FT,185900,185900,0,1,2,Very High,Very High,Very High,Very High
2021,CT,416000,416000,100,3,1,Extremely High,Extremely High,Extremely High,Extremely High
2023,FT,155000,155000,0,4,2,Very High,Very High,Very High,Very High
2023,FT,169000,169000,0,1,2,Very High,Very High,Very High,Very High
2022,FT,216000,216000,100,3,2,Extremely High,Extremely High,Extremely High,Extremely High
2023,FT,217000,217000,100,1,2,Extremely High,Extremely High,Extremely High,Extremely High
2023,FT,155850,155850,0,1,2,Very High,Very High,Very High,Very High
2022,FT,160000,160000,100,1,2,Very High,Very High,Very High,Very High
2022,FT,405000,405000,100,1,3,Extremely High,Extremely High,Extremely High,Extremely High
2022,FT,144000,144000,0,1,3,High,High,High,High
2022,FT,120000,120000,0,1,2,High,High,High,High
2022,FT,50000,50000,100,1,2,Low,Low,Low,Low
2023,FT,75000,75000,100,1,2,Medium,Medium,Medium,Medium
2023,FT,130000,130000,0,1,2,High,High,High,High
2021,FT,110000,87738,100,1,1,Medium,Medium,Medium,Medium
2022,FT,198440,198440,0,1,2,Very High,Very High,Very High,Very High
2023,FT,90700,90700,0,1,2,High,High,High,High
2022,FT,23000,23000,100,2,3,Low,Low,Low,Low
2022,FT,126500,126500,100,1,2,High,High,High,High
2022,FT,175950,175950,100,1,2,Very High,Very High,Very High,Very High
2023,FT,182000,182000,0,1,2,Very High,Very High,Very High,Very High
2023,FT,222200,222200,0,1,3,Extremely High,Extremely High,Extremely High,Extremely High
2023,FT,225000,225000,100,1,2,Extremely High,Extremely High,Extremely High,Extremely High
2023,FT,45000,54685,0,2,2,Low,Low,Low,Low
2022,FT,70000,70000,0,1,2,Medium,Medium,Medium,Medium
2022,FT,191200,191200,0,1,2,Very High,Very High,Very High,Very High
2022,FT,135000,135000,100,2,2,High,High,High,High
2023,FT,165000,165000,100,1,2,Very High,Very High,Very High,Very High
2023,FT,162500,162500,0,2,2,Very High,Very High,Very High,Very High
2023,FT,149040,149040,100,1,2,High,High,High,High
2021,FT,90000,90000,100,4,1,High,High,High,High
2022,FT,35000,43096,0,2,2,Low,Low,Low,Low
2022,FT,140000,140000,100,1,2,High,High,High,High
2023,FT,185000,185000,0,1,2,Very High,Very High,Very High,Very High
2023,FT,150000,150000,0,1,2,Very High,Very High,Very High,Very High
2023,FT,144000,144000,100,1,2,High,High,High,High
2023,FT,240500,240500,0,1,2,Extremely High,Extremely High,Extremely High,Extremely High
2022,FT,179775,179775,100,1,2,Very High,Very High,Very High,Very High
2022,FT,145000,145000,50,2,3,High,High,High,High
2023,FT,129000,129000,0,1,2,High,High,High,High
2022,FT,65000,65000,100,1,2,Medium,Medium,Medium,Medium
2022,FT,190000,190000,100,1,2,Very High,Very High,Very High,Very High
2021,FT,140000,140000,100,2,3,High,High,High,High
2022,FT,225000,225000,100,1,2,Extremely High,Extremely High,Extremely High,Extremely High
2022,FT,50000,61566,50,2,1,Medium,Medium,Medium,Medium
2023,FT,260000,260000,0,1,3,Extremely High,Extremely High,Extremely High,Extremely High
2022,FT,81500,81500,0,1,2,Medium,Medium,Medium,Medium
2023,FT,90000,90000,100,1,2,High,High,High,High
2022,FT,215300,215300,100,1,3,Extremely High,Extremely High,Extremely High,Extremely High
2023,FT,192500,192500,100,1,2,Very High,Very High,Very High,Very High
2023,FT,100000,100000,0,1,2,High,High,High,High
2023,FT,183000,183000,100,1,2,Very High,Very High,Very High,Very High
2023,FT,1400000,17022,100,2,3,Low,Low,Low,Low
2021,FT,150000,150000,100,3,3,Very High,Very High,Very High,Very High
2022,FT,134760,134760,100,1,2,High,High,High,High
2022,FT,70000,73546,100,2,2,Medium,Medium,Medium,Medium
2023,FT,116704,116704,100,3,2,High,High,High,High
2023,FT,110000,110000,100,2,3,High,High,High,High
2021,FT,39600,46809,100,2,2,Low,Low,Low,Low
2020,FT,80000,91237,0,1,1,High,High,High,High
2021,FT,82500,82500,100,2,1,Medium,Medium,Medium,Medium
2023,FT,204500,204500,0,1,2,Extremely High,Extremely High,Extremely High,Extremely High
2021,FT,38400,45391,100,2,3,Low,Low,Low,Low
2023,FT,55000,55000,0,4,2,Low,Low,Low,Low
2022,FT,85000,85000,100,1,2,Medium,Medium,Medium,Medium
2020,FT,91000,91000,100,4,3,High,High,High,High
2022,FT,80000,80000,0,2,2,Medium,Medium,Medium,Medium
2022,FT,186000,186000,100,1,2,Very High,Very High,Very High,Very High
2022,FT,119300,119300,0,1,3,High,High,High,High
2022,FT,7500000,95386,50,1,3,High,High,High,High
2023,FT,47500,57723,100,2,2,Low,Low,Low,Low
2022,FT,90320,90320,100,1,2,High,High,High,High
2023,FT,210914,210914,100,3,2,Extremely High,Extremely High,Extremely High,Extremely High
2022,FT,78000,78000,0,1,2,Medium,Medium,Medium,Medium
2022,FT,135000,135000,0,1,2,High,High,High,High
2023,FT,200000,200000,0,1,2,Extremely High,Extremely High,Extremely High,Extremely High
2023,FT,150000,150000,100,1,2,Very High,Very High,Very High,Very High
2023,FT,36000,36000,100,2,1,Low,Low,Low,Low
2022,FT,67000,67000,0,4,2,Medium,Medium,Medium,Medium
2023,FT,190000,190000,0,1,2,Very High,Very High,Very High,Very High
2022,FT,153000,153000,50,2,2,Very High,Very High,Very High,Very High
2022,FT,10000,10000,100,4,2,Low,Low,Low,Low
2023,FT,129000,129000,0,1,2,High,High,High,High
2023,FT,159500,159500,0,1,2,Very High,Very High,Very High,Very High
2022,FT,192000,192000,0,1,2,Very High,Very High,Very High,Very High
2022,FT,115934,115934,100,1,2,High,High,High,High
2023,FT,126000,126000,0,1,2,High,High,High,High
2023,FT,210550,210550,0,1,2,Extremely High,Extremely High,Extremely High,Extremely High
2023,FT,171600,171600,0,2,2,Very High,Very High,Very High,Very High
2023,FT,55000,66837,0,2,2,Medium,Medium,Medium,Medium
2023,FT,159100,159100,0,1,3,Very High,Very High,Very High,Very High
2023,FT,90000,90000,0,2,2,High,High,High,High
2023,FT,203100,203100,0,1,2,Extremely High,Extremely High,Extremely High,Extremely High
2023,FT,370000,370000,0,1,2,Extremely High,Extremely High,Extremely High,Extremely High
2023,FT,48000,48000,0,4,2,Low,Low,Low,Low
2022,FT,130000,130000,100,1,2,High,High,High,High
2023,FT,188800,188800,100,1,2,Very High,Very High,Very High,Very High
2023,FT,70000,51753,100,4,3,Low,Low,Low,Low
2023,FT,248100,248100,0,1,2,Extremely High,Extremely High,Extremely High,Extremely High
2022,FT,180000,180000,100,1,2,Very High,Very High,Very High,Very High
2022,FT,187000,187000,100,2,2,Very High,Very High,Very High,Very High
2022,FT,50000,52533,100,2,2,Low,Low,Low,Low
2023,FT,125000,125000,100,1,2,High,High,High,High
2023,FT,105000,105000,0,1,2,High,High,High,High
2023,FT,209300,209300,100,1,2,Extremely High,Extremely High,Extremely High,Extremely High
2022,FT,154000,154000,100,1,2,Very High,Very High,Very High,Very High
2022,FT,192400,192400,100,1,2,Very High,Very High,Very High,Very High
2022,FT,154600,154600,100,1,2,Very High,Very High,Very High,Very High
2022,FT,120000,120000,0,1,2,High,High,High,High
2022,FT,70000,73546,100,2,2,Medium,Medium,Medium,Medium
2023,FT,74540,74540,0,4,2,Medium,Medium,Medium,Medium
2023,FT,163800,163800,0,1,2,Very High,Very High,Very High,Very High
2023,FT,188500,188500,100,1,2,Very High,Very High,Very High,Very High
2023,FT,203300,203300,100,1,2,Extremely High,Extremely High,Extremely High,Extremely High
2022,FT,175000,175000,0,1,2,Very High,Very High,Very High,Very High
2021,FT,43200,51064,50,2,3,Low,Low,Low,Low
2022,CT,90000,90000,100,1,2,High,High,High,High
2023,FT,137500,137500,0,1,2,High,High,High,High
2022,FT,132000,132000,0,1,2,High,High,High,High
2021,FT,250000,250000,0,3,3,Extremely High,Extremely High,Extremely High,Extremely High
2023,FT,142200,142200,0,1,2,High,High,High,High
2022,FT,144000,144000,0,1,3,High,High,High,High
2023,FT,137500,137500,0,1,2,High,High,High,High
2023,FT,45000,48289,100,2,2,Low,Low,Low,Low
2022,FT,135000,135000,100,3,2,High,High,High,High
2023,FT,160000,160000,0,1,2,Very High,Very High,Very High,Very High
2022,FT,113000,113000,0,1,3,High,High,High,High
2023,FT,130000,130000,0,1,2,High,High,High,High
2022,FT,196000,196000,100,1,2,Very High,Very High,Very High,Very High
2022,FT,216000,216000,100,1,2,Extremely High,Extremely High,Extremely High,Extremely High
2023,FT,70000,70000,0,1,2,Medium,Medium,Medium,Medium
2023,FT,106500,106500,0,1,2,High,High,High,High
2022,FT,124000,124000,0,2,2,High,High,High,High
2023,FT,200000,200000,0,2,2,Extremely High,Extremely High,Extremely High,Extremely High
2022,FT,125000,125000,0,4,2,High,High,High,High
2022,FT,70000,70000,0,1,2,Medium,Medium,Medium,Medium
2023,FT,150450,150450,100,2,2,Very High,Very High,Very High,Very High
2023,FT,129000,129000,0,1,2,High,High,High,High
2023,FT,289076,289076,0,1,2,Extremely High,Extremely High,Extremely High,Extremely High
2023,FT,148000,148000,0,1,2,High,High,High,High
2023,FT,65000,65000,0,4,2,Medium,Medium,Medium,Medium
2023,FT,95000,95000,100,1,2,High,High,High,High
2022,FT,81000,81000,100,1,2,Medium,Medium,Medium,Medium
2023,FT,95000,115447,100,2,3,High,High,High,High
2023,FT,122700,122700,0,1,2,High,High,High,High
2023,FT,150000,150000,0,1,2,Very High,Very High,Very High,Very High
2022,FT,48000,48000,100,1,1,Low,Low,Low,Low
2022,FT,191200,191200,0,1,2,Very High,Very High,Very High,Very High
2023,FT,95000,95000,100,4,2,High,High,High,High
2023,FT,104000,104000,100,1,2,High,High,High,High
2022,FT,27000,28368,50,4,2,Low,Low,Low,Low
2022,FT,202900,202900,100,1,3,Extremely High,Extremely High,Extremely High,Extremely High
2022,FT,204100,204100,0,1,2,Extremely High,Extremely High,Extremely High,Extremely High
2022,FT,154600,154600,100,1,3,Very High,Very High,Very High,Very High
2022,FT,119000,119000,100,1,2,High,High,High,High
2021,FT,144000,144000,100,1,3,High,High,High,High
2023,FT,140000,140000,0,1,2,High,High,High,High
2022,FT,80000,80000,100,2,2,Medium,Medium,Medium,Medium
2023,FT,143200,143200,100,1,2,High,High,High,High
2021,FT,85000,85000,0,3,2,Medium,Medium,Medium,Medium
2022,FT,52500,52500,0,2,2,Low,Low,Low,Low
2022,FT,132100,132100,100,1,3,High,High,High,High
2022,FT,191475,191475,100,1,2,Very High,Very High,Very High,Very High
2023,FT,102000,102000,0,2,2,High,High,High,High
2022,FT,150000,150000,100,1,2,Very High,Very High,Very High,Very High
2023,FT,225000,225000,0,1,2,Extremely High,Extremely High,Extremely High,Extremely High
2022,FT,247500,247500,0,1,2,Extremely High,Extremely High,Extremely High,Extremely High
2022,FT,160000,160000,0,1,3,Very High,Very High,Very High,Very High
2021,FL,12000,12000,50,2,2,Low,Low,Low,Low
2023,FT,157750,157750,100,1,2,Very High,Very High,Very High,Very High
2022,FT,250000,250000,100,1,2,Extremely High,Extremely High,Extremely High,Extremely High
2022,FT,100000,100000,100,1,3,High,High,High,High
2022,FT,141525,141525,100,1,2,High,High,High,High
2022,FT,185900,185900,0,1,2,Very High,Very High,Very High,Very High
2022,FT,129300,129300,0,1,2,High,High,High,High
2023,FT,85000,85000,100,4,2,Medium,Medium,Medium,Medium
2022,FT,55000,67723,0,2,2,Medium,Medium,Medium,Medium
2022,FT,191200,191200,0,1,2,Very High,Very High,Very High,Very High
2021,FT,21844,21844,50,4,2,Low,Low,Low,Low
2023,FT,145900,145900,0,1,2,High,High,High,High
2022,FT,120000,120000,0,1,2,High,High,High,High
2023,FT,106800,106800,0,1,2,High,High,High,High
2022,FT,128500,128500,100,1,2,High,High,High,High
2023,FT,183500,183500,100,1,2,Very High,Very High,Very High,Very High
2022,FT,160000,160000,100,1,2,Very High,Very High,Very High,Very High
2022,FT,130000,130000,100,1,2,High,High,High,High
2022,FT,100000,100000,100,2,2,High,High,High,High
2023,FT,170000,170000,100,1,2,Very High,Very High,Very High,Very High
2022,FT,50000,50000,100,1,2,Low,Low,Low,Low
2023,FT,120000,120000,0,1,2,High,High,High,High
2023,FT,156400,156400,100,1,2,Very High,Very High,Very High,Very High
2022,FT,75000,75000,0,2,2,Medium,Medium,Medium,Medium
2023,FT,247500,247500,0,1,2,Extremely High,Extremely High,Extremely High,Extremely High
2022,FT,145000,145000,0,1,2,High,High,High,High
2022,FT,132100,132100,100,1,3,High,High,High,High
2023,FT,129300,129300,0,1,2,High,High,High,High
2022,FT,88100,88100,0,1,2,Medium,Medium,Medium,Medium
2022,FT,180000,180000,100,4,2,Very High,Very High,Very High,Very High
2023,FT,129300,129300,0,1,2,High,High,High,High
2023,FT,119500,119500,100,1,2,High,High,High,High
2023,FT,197000,197000,0,1,2,Very High,Very High,Very High,Very High
2023,FT,67000,71897,100,1,2,Medium,Medium,Medium,Medium
2022,FT,160000,160000,0,2,2,Very High,Very High,Very High,Very High
2022,FT,123000,123000,100,1,2,High,High,High,High
2022,FT,104000,104000,100,1,2,High,High,High,High
2023,FT,130000,130000,0,1,2,High,High,High,High
2022,FT,135000,135000,0,4,2,High,High,High,High
2023,FT,175000,175000,100,1,2,Very High,Very High,Very High,Very High
2021,CT,105000,105000,100,1,2,High,High,High,High
2022,FT,154600,154600,100,1,3,Very High,Very High,Very High,Very High
2023,FT,185000,185000,100,1,2,Very High,Very High,Very High,Very High
2022,FT,96000,73742,100,4,3,Medium,Medium,Medium,Medium
2023,FT,90700,90700,0,1,2,High,High,High,High
2022,FT,60000,73880,0,2,2,Medium,Medium,Medium,Medium
2022,FT,149040,149040,100,1,2,High,High,High,High
2022,FT,145000,145000,0,1,2,High,High,High,High
2023,FT,299500,299500,0,1,2,Extremely High,Extremely High,Extremely High,Extremely High
2020,FT,20000,20000,0,2,1,Low,Low,Low,Low
2023,FT,70000,70000,0,1,2,Medium,Medium,Medium,Medium
2023,FT,155000,155000,0,2,2,Very High,Very High,Very High,Very High
2022,FT,129300,129300,0,1,2,High,High,High,High
2020,PT,14000,15966,100,4,1,Low,Low,Low,Low
2021,FT,55000,65013,50,4,2,Medium,Medium,Medium,Medium
2022,FT,148000,148000,100,1,2,High,High,High,High
2022,FT,142200,142200,0,1,2,High,High,High,High
2021,FT,31000,36643,50,4,3,Low,Low,Low,Low
2022,FT,150075,150075,100,1,2,Very High,Very High,Very High,Very High
2022,FT,310000,310000,100,3,2,Extremely High,Extremely High,Extremely High,Extremely High
2022,FT,191475,191475,100,1,2,Very High,Very High,Very High,Very High
2022,FT,150000,150000,100,2,2,Very High,Very High,Very High,Very High
2023,FT,167000,167000,0,1,2,Very High,Very High,Very High,Very High
2023,FT,120000,120000,0,4,2,High,High,High,High
2022,FT,90000,94560,100,2,2,High,High,High,High
2022,FT,168400,168400,0,1,2,Very High,Very High,Very High,Very High
2023,FT,90000,109371,0,2,2,High,High,High,High
2021,FT,72500,72500,100,4,3,Medium,Medium,Medium,Medium
2023,FT,167500,167500,0,1,2,Very High,Very High,Very High,Very High
2023,FT,153088,153088,100,1,2,Very High,Very High,Very High,Very High
2022,FT,130000,130000,0,1,2,High,High,High,High
2023,FT,155000,155000,0,4,2,Very High,Very High,Very High,Very High
2023,FT,170000,170000,0,1,2,Very High,Very High,Very High,Very High
2022,FT,218000,218000,0,1,2,Extremely High,Extremely High,Extremely High,Extremely High
2023,FT,178600,178600,0,1,2,Very High,Very High,Very High,Very High
2022,FT,220000,220000,100,1,2,Extremely High,Extremely High,Extremely High,Extremely High
2022,FT,154545,154545,0,1,3,Very High,Very High,Very High,Very High
2023,FT,185900,185900,0,1,2,Very High,Very High,Very High,Very High
2022,FT,141525,141525,100,1,2,High,High,High,High
2023,FT,175000,175000,100,1,2,Very High,Very High,Very High,Very High
2023,FT,182200,182200,100,1,2,Very High,Very High,Very High,Very High
2022,FT,85000,85000,100,2,2,Medium,Medium,Medium,Medium
2023,FT,140000,140000,0,1,2,High,High,High,High
2022,FT,62000,65141,100,2,2,Medium,Medium,Medium,Medium
2022,FT,56000,58837,100,2,1,Low,Low,Low,Low
2022,FT,58000,60938,0,2,2,Medium,Medium,Medium,Medium
2023,FT,127000,127000,100,1,2,High,High,High,High
2022,FT,216000,216000,100,1,2,Extremely High,Extremely High,Extremely High,Extremely High
2021,FT,93000,93000,100,2,3,High,High,High,High
2023,FT,169200,169200,0,1,2,Very High,Very High,Very High,Very High
2022,FT,191475,191475,100,1,2,Very High,Very High,Very High,Very High
2022,FT,200100,200100,100,1,2,Extremely High,Extremely High,Extremely High,Extremely High
2022,FT,120000,120000,0,1,2,High,High,High,High
2022,FT,150000,150000,100,2,2,Very High,Very High,Very High,Very High
2023,FT,120000,120000,0,1,2,High,High,High,High
2022,FT,235000,235000,100,1,2,Extremely High,Extremely High,Extremely High,Extremely High
2022,FT,95000,95000,0,1,2,High,High,High,High
2023,FT,125000,125000,0,4,2,High,High,High,High
2023,FT,140800,140800,0,1,2,High,High,High,High
2021,FT,80000,63810,100,2,2,Medium,Medium,Medium,Medium
2020,FT,11000000,35735,50,2,3,Low,Low,Low,Low
2021,FT,59000,69741,100,3,1,Medium,Medium,Medium,Medium
2022,FT,142200,142200,0,1,2,High,High,High,High
2022,FT,4200000,53416,100,2,3,Low,Low,Low,Low
2023,FT,155000,155000,100,1,2,Very High,Very High,Very High,Very High
2020,FT,42000,47899,50,1,3,Low,Low,Low,Low
2023,FT,161800,161800,100,1,2,Very High,Very High,Very High,Very High
2023,FT,168100,168100,100,1,2,Very High,Very High,Very High,Very High
2022,FT,173000,173000,100,1,2,Very High,Very High,Very High,Very High
2023,FT,275300,275300,100,1,2,Extremely High,Extremely High,Extremely High,Extremely High
2023,FT,185000,185000,100,1,2,Very High,Very High,Very High,Very High
2022,FT,250000,250000,100,1,2,Extremely High,Extremely High,Extremely High,Extremely High
2021,FT,120500,96113,50,1,3,High,High,High,High
2022,FT,180000,180000,100,1,2,Very High,Very High,Very High,Very High
2022,FT,30000,30000,100,4,3,Low,Low,Low,Low
2023,FT,150000,150000,100,1,2,Very High,Very High,Very High,Very High
2022,FT,272550,272550,100,1,2,Extremely High,Extremely High,Extremely High,Extremely High
2023,FT,120000,145828,0,2,2,High,High,High,High
2022,FT,48000,48000,100,2,2,Low,Low,Low,Low
2021,FT,170000,170000,100,1,2,Very High,Very High,Very High,Very High
2022,FT,129300,129300,0,2,2,High,High,High,High
2023,FT,160000,160000,100,1,2,Very High,Very High,Very High,Very High
2022,FT,120000,120000,0,1,2,High,High,High,High
2023,FT,120000,120000,0,1,2,High,High,High,High
2022,FT,90000,110820,0,2,2,High,High,High,High
2022,FT,97500,97500,100,2,3,High,High,High,High
2022,FT,110600,110600,0,1,2,High,High,High,High
2023,FT,36000,38631,0,1,2,Low,Low,Low,Low
2021,FT,30000,30000,0,2,1,Low,Low,Low,Low
2021,FT,130000,153667,100,3,3,Very High,Very High,Very High,Very High
2022,FT,120000,120000,100,2,2,High,High,High,High
2021,FT,20000,20000,50,4,2,Low,Low,Low,Low
2022,FT,115934,115934,100,1,2,High,High,High,High
2022,FT,135000,135000,100,1,2,High,High,High,High
2023,FT,250000,250000,0,1,2,Extremely High,Extremely High,Extremely High,Extremely High
2023,FT,139000,139000,0,1,2,High,High,High,High
2023,FT,95000,95000,0,2,2,High,High,High,High
2022,FT,24000,24000,0,2,2,Low,Low,Low,Low
2022,FT,190000,190000,100,1,3,Very High,Very High,Very High,Very High
2022,FT,110000,110000,0,1,2,High,High,High,High
2023,FT,140000,140000,100,1,2,High,High,High,High
2022,FT,160000,160000,100,2,2,Very High,Very High,Very High,Very High
2023,FT,175000,175000,100,1,2,Very High,Very High,Very High,Very High
2022,FT,191475,191475,100,1,2,Very High,Very High,Very High,Very High
2022,FT,110000,110000,0,1,2,High,High,High,High
2023,FT,145000,145000,0,2,2,High,High,High,High
2023,FT,125000,125000,0,2,1,High,High,High,High
2022,FT,135000,135000,0,1,2,High,High,High,High
2022,FT,166700,166700,0,1,2,Very High,Very High,Very High,Very High
2023,FT,65000,65000,0,4,2,Medium,Medium,Medium,Medium
2022,FT,10000,10000,50,4,1,Low,Low,Low,Low
2022,FT,122000,122000,0,1,2,High,High,High,High
2023,FT,237000,237000,100,1,2,Extremely High,Extremely High,Extremely High,Extremely High
2023,FT,140000,140000,0,1,2,High,High,High,High
2023,FT,206500,206500,100,1,2,Extremely High,Extremely High,Extremely High,Extremely High
2022,FT,160000,160000,100,2,2,Very High,Very High,Very High,Very High
2021,FT,21000,24823,50,2,3,Low,Low,Low,Low
2023,FT,106800,106800,0,1,2,High,High,High,High
2022,FT,206000,206000,0,2,2,Extremely High,Extremely High,Extremely High,Extremely High
2023,FT,133000,133000,0,1,2,High,High,High,High
2023,FT,180000,180000,100,1,2,Very High,Very High,Very High,Very High
2023,FT,145000,145000,0,1,2,High,High,High,High
2023,FT,55000,55000,0,1,2,Low,Low,Low,Low
2022,FT,248700,248700,0,1,2,Extremely High,Extremely High,Extremely High,Extremely High
2022,FT,189650,189650,0,1,2,Very High,Very High,Very High,Very High
2023,FT,228000,228000,0,1,2,Extremely High,Extremely High,Extremely High,Extremely High
2022,FT,93800,93800,0,1,2,High,High,High,High
2022,FT,83376,102663,100,1,2,High,High,High,High
2022,FT,85000,89306,0,2,2,Medium,Medium,Medium,Medium
2023,FT,300000,300000,0,1,2,Extremely High,Extremely High,Extremely High,Extremely High
2022,FT,99000,99000,0,1,2,High,High,High,High
2023,FT,150000,150000,100,2,2,Very High,Very High,Very High,Very High
2023,FT,186000,186000,0,1,2,Very High,Very High,Very High,Very High
2023,FT,220000,220000,0,2,2,Extremely High,Extremely High,Extremely High,Extremely High
2022,FT,122000,122000,0,1,2,High,High,High,High
2023,FT,204500,204500,0,1,2,Extremely High,Extremely High,Extremely High,Extremely High
